FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.NtnlCcy,FinInstrmGnlAttrbts.CmmdtyDerivInd,Issr
DE000C27XU20,OHYU SI 20210115 PS AM C 109.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27XU38,OHYU SI 20210115 PS AM P 109.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27XXA8,OQDE SI 20210115 PS AM C 119.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C27XXB6,OQDE SI 20210115 PS AM P 119.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2VEA80,GLJM SI 20210115 CS,FCECSX,USD,true,529900J0JGLSFDWNFC20
DE000C2WMX82,OEMB SI 20210115 PS AM C 97.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMX90,OEMB SI 20210115 PS AM P 97.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXA3,OEMB SI 20210115 PS AM C 98.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXB1,OEMB SI 20210115 PS AM P 98.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXC9,OEMB SI 20210115 PS AM C 99.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXD7,OEMB SI 20210115 PS AM P 99.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXE5,OEMB SI 20210115 PS AM C 100.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXF2,OEMB SI 20210115 PS AM P 100.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXG0,OEMB SI 20210115 PS AM C 101.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXH8,OEMB SI 20210115 PS AM P 101.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXJ4,OEMB SI 20210115 PS AM C 102.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXK2,OEMB SI 20210115 PS AM P 102.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXL0,OEMB SI 20210115 PS AM C 103.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXM8,OEMB SI 20210115 PS AM P 103.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXN6,OEMB SI 20210115 PS AM C 104.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXP1,OEMB SI 20210115 PS AM P 104.00 0,OPAIPS,USD,false,529900UT4DG0LG5R9O07
DE000C2WMXQ9,OEMB SI 20210115 PS AM C 105.00 0,OCAIPS,USD,false,529900UT4DG0LG5R9O07
